,0
F1022.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV RECV RECV_INIT VERIFY_RETURN_TYPE RETURN E O E RECV RECV_INIT RETURN E O E RECV RECV_INIT RETURN E O E RECV RECV_INIT RETURN E O E RECV VERIFY_RETURN_TYPE RETURN E O E VERIFY_RETURN_TYPE RETURN E O E RECV VERIFY_RETURN_TYPE RETURN
F1023.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV RECV INIT_METHOD_CALL SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN
F1024.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1025.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E ASSIGN_OBJ OP_DATA RETURN E O E ASSIGN_OBJ OP_DATA RETURN
F1026.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN E O E FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL FETCH_OBJ_R RETURN RETURN
F1027.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RETURN
F1028.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1029.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F103.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS ADD_TRAIT BIND_TRAITS ADD_INTERFACE VERIFY_ABSTRACT_CLASS RETURN E O E RECV_INIT JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN E O E FETCH_OBJ_R IS_IDENTICAL JMPZ NEW SEND_VAL_EX DO_FCALL THROW FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ASSIGN_OBJ OP_DATA INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL FETCH_THIS RETURN RETURN E O E RECV INIT_STATIC_METHOD_CALL SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV RECV NEW CONCAT INIT_ARRAY ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL THROW RETURN E O E RECV RECV RECV FETCH_CLASS NEW FETCH_THIS SEND_VAR_EX SEND_VAR_EX DO_FCALL ASSIGN FETCH_DIM_IS COALESCE QM_ASSIGN ASSIGN JMPZ INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN
F1030.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1031.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
