,0
F1041.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RETURN
F1042.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1043.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1044.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1045.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1046.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN
F1047.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1048.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN
F1049.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN E O E INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN
F105.php, E O E DECLARE_CLASS ADD_INTERFACE VERIFY_ABSTRACT_CLASS RETURN E O E RECV INIT_STATIC_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN RETURN E O E RECV INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN IS_IDENTICAL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL NEW SEND_VAR_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV INIT_METHOD_CALL DO_FCALL ASSIGN INSTANCEOF JMPZ VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN INIT_METHOD_CALL SEND_VAR_EX SEND_VAR_EX DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN INSTANCEOF JMPZ VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ASSIGN ASSIGN INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL JMPZ INIT_METHOD_CALL SEND_VAL_EX DO_FCALL CONCAT ASSIGN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL JMPZ INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL IS_NOT_IDENTICAL JMPZ INIT_NS_FCALL_BY_NAME ROPE_INIT ROPE_ADD ROPE_END CONCAT CONCAT SEND_VAL_EX DO_FCALL INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL IS_IDENTICAL JMPZ INIT_STATIC_METHOD_CALL SEND_VAR_EX DO_FCALL CONCAT ASSIGN_CONCAT JMP INIT_NS_FCALL_BY_NAME DECLARE_LAMBDA_FUNCTION SEND_VAL_EX INIT_NS_FCALL_BY_NAME SEND_VAL_EX SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAL_EX SEND_VAR_EX DO_FCALL CONCAT ASSIGN_CONCAT JMP CONCAT ASSIGN_CONCAT INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL IS_NOT_IDENTICAL JMPNZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL IS_NOT_IDENTICAL BOOL JMPNZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL IS_NOT_IDENTICAL BOOL JMPNZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL IS_IDENTICAL BOOL JMPZ INIT_METHOD_CALL SEND_VAR_EX DO_FCALL INIT_STATIC_METHOD_CALL CONCAT SEND_VAL_EX SEND_VAR_EX SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV NEW INIT_METHOD_CALL SEND_VAL_EX DO_FCALL INIT_ARRAY INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ADD_ARRAY_ELEMENT INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ADD_ARRAY_ELEMENT INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL THROW RETURN
F1050.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RECV FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN
F1051.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1052.php, E O E NOP RETURN
F1053.php, E O E ECHO RETURN
F1054.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RETURN E O E RECV INIT_METHOD_CALL SEND_VAL_EX SEND_VAR_EX DO_FCALL RETURN
F1055.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E RETURN
F1056.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1057.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1058.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1059.php, E O E ECHO RETURN
F106.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN E O E INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN E O E RECV INIT_METHOD_CALL DO_FCALL ASSIGN ASSIGN FETCH_OBJ_R INIT_METHOD_CALL SEND_VAL_EX DO_FCALL JMPZ_EX INIT_NS_FCALL_BY_NAME INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL BOOL JMPZ INIT_NS_FCALL_BY_NAME FETCH_CONSTANT SEND_VAL_EX INIT_METHOD_CALL DO_FCALL CAST SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME FETCH_CONSTANT SEND_VAL_EX SEND_VAR_EX DO_FCALL FETCH_CONSTANT CONCAT CONCAT ASSIGN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN
F1060.php, E O E ECHO RETURN
F1061.php, E O E ECHO RETURN
F1062.php, E O E ECHO RETURN
F1063.php, E O E ECHO RETURN
F1064.php, E O E ECHO RETURN
F1065.php, E O E ECHO RETURN
F1066.php, E O E ECHO RETURN
F1067.php, E O E INIT_FCALL_BY_NAME SEND_VAL_EX DO_FCALL ECHO RETURN
F1068.php, E O E ECHO RETURN
F1069.php, E O E ECHO RETURN
F107.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS ADD_TRAIT BIND_TRAITS ADD_INTERFACE VERIFY_ABSTRACT_CLASS RETURN E O E RECV FETCH_OBJ_R INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL RETURN E O E RECV INIT_METHOD_CALL SEND_VAR_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV FETCH_OBJ_R FETCH_DIM_R INIT_METHOD_CALL DO_FCALL IS_NOT_IDENTICAL JMPZ RETURN INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL BOOL_NOT JMPZ RETURN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL JMPZ RETURN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL BOOL_NOT JMPZ JMPZ RETURN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL ASSIGN INSTANCEOF JMPZ INIT_METHOD_CALL DO_FCALL VERIFY_RETURN_TYPE RETURN JMPNZ_EX FETCH_OBJ_IS ISSET_ISEMPTY_DIM_OBJ BOOL JMPNZ_EX INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL BOOL JMPZ RETURN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RETURN VERIFY_RETURN_TYPE RETURN E O E RECV INIT_NS_FCALL_BY_NAME INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX INIT_NS_FCALL_BY_NAME SEND_VAL_EX FETCH_OBJ_FUNC_ARG SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME FETCH_OBJ_FUNC_ARG SEND_VAR_EX DO_FCALL ASSIGN IS_IDENTICAL JMPZ NEW SEND_VAL_EX DO_FCALL THROW INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX SEND_VAR_EX DO_FCALL ASSIGN IS_NOT_IDENTICAL JMPZ INSTANCEOF JMPZ QM_ASSIGN JMP QM_ASSIGN VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL BOOL_NOT JMPZ INIT_METHOD_CALL FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL VERIFY_RETURN_TYPE RETURN INIT_METHOD_CALL SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E INIT_METHOD_CALL DO_FCALL ASSIGN FETCH_OBJ_R FETCH_DIM_R ASSIGN IS_IDENTICAL JMPZ RETURN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ FETCH_CLASS_CONSTANT FETCH_DIM_W ASSIGN_DIM OP_DATA JMP INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL IS_IDENTICAL JMPZ QM_ASSIGN JMP QM_ASSIGN ASSIGN FETCH_CLASS_CONSTANT CONCAT CONCAT INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL CONCAT ASSIGN_CONCAT RETURN RETURN E O E RECV INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN INIT_STATIC_METHOD_CALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN INIT_STATIC_METHOD_CALL FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL ASSIGN IS_IDENTICAL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV FETCH_OBJ_R FETCH_DIM_R IS_IDENTICAL JMPZ NEW FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL THROW INIT_METHOD_CALL FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL FETCH_OBJ_R FETCH_DIM_R IS_IDENTICAL JMPZ ASSIGN FETCH_OBJ_IS ISSET_ISEMPTY_DIM_OBJ BOOL_NOT JMPZ FETCH_OBJ_R FETCH_DIM_R ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ ASSIGN_DIM OP_DATA INIT_METHOD_CALL SEND_VAR_EX SEND_VAL_EX DO_FCALL ASSIGN JMP FETCH_OBJ_R FETCH_DIM_R ASSIGN INIT_METHOD_CALL SEND_VAR_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E INIT_ARRAY ADD_ARRAY_ELEMENT ADD_ARRAY_ELEMENT FETCH_OBJ_R FETCH_DIM_R ADD_ARRAY_ELEMENT INIT_NS_FCALL_BY_NAME SEND_VAL_EX SEND_VAL_EX DO_FCALL ADD_ARRAY_ELEMENT ASSIGN INIT_METHOD_CALL DO_FCALL ASSIGN FE_RESET_R FE_FETCH_R ASSIGN IS_NOT_IDENTICAL JMPZ UNSET_DIM JMP FE_FREE INIT_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN E O E RECV_INIT RECV_INIT ISSET_ISEMPTY_CV JMPZ_EX INIT_METHOD_CALL DO_FCALL BOOL_NOT BOOL JMPZ RETURN ISSET_ISEMPTY_CV JMPZ INIT_METHOD_CALL DO_FCALL ASSIGN ISSET_ISEMPTY_CV JMPZ INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL FETCH_OBJ_R FE_RESET_R FE_FETCH_R INIT_METHOD_CALL SEND_VAR_EX SEND_VAR_EX DO_FCALL IS_IDENTICAL JMPZ ASSIGN_OBJ OP_DATA FE_FREE RETURN JMP FE_FREE RETURN VERIFY_RETURN_TYPE RETURN E O E FETCH_OBJ_IS ISSET_ISEMPTY_DIM_OBJ JMPZ RETURN ASSIGN_OBJ OP_DATA INIT_STATIC_METHOD_CALL FETCH_OBJ_R FETCH_DIM_R CAST SEND_VAL_EX DO_FCALL ASSIGN ASSIGN ISSET_ISEMPTY_DIM_OBJ JMPZ FETCH_DIM_R ASSIGN UNSET_DIM FE_RESET_R FE_FETCH_R ASSIGN ISSET_ISEMPTY_DIM_OBJ BOOL_NOT JMPZ FETCH_DIM_R ASSIGN UNSET_DIM JMP ASSIGN INIT_STATIC_METHOD_CALL SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN IS_IDENTICAL JMPZ NEW INIT_NS_FCALL_BY_NAME SEND_VAL_EX SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL THROW INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL BOOL_NOT JMPZ NEW SEND_VAL_EX DO_FCALL THROW CAST ADD ASSIGN FETCH_CLASS NEW FETCH_OBJ_FUNC_ARG SEND_VAR_EX SEND_VAR_EX DO_FCALL FETCH_OBJ_W ASSIGN_DIM OP_DATA JMP FE_FREE FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL FETCH_OBJ_IS FETCH_DIM_IS COALESCE QM_ASSIGN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV_INIT IS_IDENTICAL JMPZ FETCH_OBJ_R INIT_METHOD_CALL DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL ASSIGN_OBJ OP_DATA RETURN INIT_NS_FCALL_BY_NAME FETCH_OBJ_FUNC_ARG SEND_VAR_EX CAST SEND_VAL_EX DO_FCALL ASSIGN_OBJ OP_DATA RETURN E O E RECV_INIT IS_IDENTICAL JMPZ ASSIGN_OBJ OP_DATA RETURN CAST FE_RESET_R FE_FETCH_R INIT_NS_FCALL_BY_NAME SEND_VAR_EX FETCH_OBJ_FUNC_ARG SEND_VAR_EX SEND_VAL_EX DO_FCALL ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ FETCH_OBJ_UNSET UNSET_DIM JMP FE_FREE INIT_NS_FCALL_BY_NAME FETCH_OBJ_FUNC_ARG SEND_VAR_EX DO_FCALL ASSIGN_OBJ OP_DATA RETURN E O E RECV INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN E O E INIT_METHOD_CALL DO_FCALL ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL CAST ASSIGN INIT_METHOD_CALL SEND_VAL_EX INIT_ARRAY SEND_VAL_EX DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_STATIC_METHOD_CALL FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV_INIT INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN BOOL_NOT JMPZ RETURN IS_IDENTICAL JMPZ RETURN INIT_STATIC_METHOD_CALL SEND_VAR_EX SEND_VAR_EX DO_FCALL RETURN RETURN E O E INIT_METHOD_CALL DO_FCALL ASSIGN JMPZ RETURN ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL FETCH_OBJ_R FE_RESET_R FE_FETCH_R INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN ISSET_ISEMPTY_CV BOOL_NOT JMPZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL BOOL JMPZ ASSIGN_OBJ OP_DATA INIT_METHOD_CALL SEND_VAL_EX INIT_ARRAY ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAR_EX DO_FCALL FE_FREE RETURN JMP FE_FREE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV_INIT INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL FETCH_CLASS_CONSTANT SEND_VAL_EX DO_FCALL ASSIGN JMPZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL IS_NOT_IDENTICAL JMPNZ_EX INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL IS_IDENTICAL BOOL BOOL JMPZ ASSIGN IS_NOT_IDENTICAL JMPZ ASSIGN JMP JMPZ FETCH_OBJ_R FETCH_DIM_R JMPZ_EX INIT_STATIC_METHOD_CALL SEND_VAR_EX DO_FCALL INIT_STATIC_METHOD_CALL FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL IS_IDENTICAL BOOL JMPZ FETCH_OBJ_R FETCH_DIM_R ASSIGN JMP FETCH_OBJ_R FETCH_DIM_R JMPZ FETCH_OBJ_R FETCH_DIM_R ASSIGN JMP ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ INIT_STATIC_METHOD_CALL ADD SEND_VAL_EX DO_FCALL VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E INIT_METHOD_CALL DO_FCALL ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL FETCH_OBJ_R FE_RESET_R FE_FETCH_R INIT_METHOD_CALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL ASSIGN ISSET_ISEMPTY_CV BOOL_NOT JMPZ ASSIGN_OBJ OP_DATA INIT_METHOD_CALL SEND_VAL_EX INIT_ARRAY ADD_ARRAY_ELEMENT SEND_VAL_EX DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL IS_NOT_IDENTICAL JMPZ INIT_METHOD_CALL DO_FCALL FE_FREE RETURN FE_FREE RETURN JMP FE_FREE RETURN RETURN E O E FETCH_OBJ_IS ISSET_ISEMPTY_DIM_OBJ JMPZ RETURN ASSIGN_OBJ OP_DATA INIT_STATIC_METHOD_CALL FETCH_OBJ_R FETCH_DIM_R CAST SEND_VAL_EX DO_FCALL ASSIGN ASSIGN ISSET_ISEMPTY_DIM_OBJ JMPZ FETCH_DIM_R ASSIGN UNSET_DIM FE_RESET_R FE_FETCH_R ASSIGN ISSET_ISEMPTY_DIM_OBJ BOOL_NOT JMPZ FETCH_DIM_R ASSIGN UNSET_DIM JMP ASSIGN INIT_STATIC_METHOD_CALL SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN IS_IDENTICAL JMPZ NEW INIT_NS_FCALL_BY_NAME SEND_VAL_EX SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL THROW INIT_NS_FCALL_BY_NAME SEND_VAR_EX SEND_VAL_EX DO_FCALL BOOL_NOT JMPZ NEW SEND_VAL_EX DO_FCALL THROW INIT_NS_FCALL_BY_NAME SEND_VAR_EX CAST SEND_VAL_EX DO_FCALL ASSIGN FETCH_CLASS NEW FETCH_OBJ_FUNC_ARG SEND_VAR_EX SEND_VAR_EX DO_FCALL FETCH_OBJ_W ASSIGN_DIM OP_DATA INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL JMP FE_FREE FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV_INIT IS_NOT_IDENTICAL JMPZ ASSIGN_OBJ OP_DATA RETURN FETCH_OBJ_R JMPZ FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN FETCH_OBJ_R FETCH_DIM_R ASSIGN INIT_NS_FCALL_BY_NAME SEND_VAR_EX DO_FCALL JMPZ ASSIGN ASSIGN JMP FETCH_DIM_R ASSIGN UNSET_DIM INIT_STATIC_METHOD_CALL SEND_VAR_EX SEND_VAL_EX SEND_VAL_EX DO_FCALL ASSIGN IS_IDENTICAL JMPZ NEW INIT_NS_FCALL_BY_NAME SEND_VAL_EX SEND_VAR_EX DO_FCALL SEND_VAR_NO_REF_EX DO_FCALL THROW INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN FETCH_CLASS NEW SEND_VAR_EX SEND_VAR_EX SEND_VAR_EX DO_FCALL ASSIGN ASSIGN_OBJ OP_DATA VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV IS_IDENTICAL JMPZ INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL RETURN INIT_STATIC_METHOD_CALL SEND_VAR_EX DO_FCALL RETURN RETURN E O E RECV RECV IS_IDENTICAL JMPZ ASSIGN_OBJ OP_DATA IS_IDENTICAL JMPZ INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN INIT_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX SEND_VAR_EX DO_FCALL RETURN ASSIGN_OBJ OP_DATA RETURN E O E RECV ISSET_ISEMPTY_PROP_OBJ JMPZ INIT_METHOD_CALL DO_FCALL FETCH_OBJ_IS FETCH_DIM_IS COALESCE QM_ASSIGN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E RECV IS_IDENTICAL JMPZ RETURN FETCH_OBJ_R INIT_METHOD_CALL SEND_VAR_EX FETCH_OBJ_FUNC_ARG FETCH_DIM_FUNC_ARG SEND_VAR_EX DO_FCALL RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E FETCH_OBJ_R VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN E O E INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL SEND_VAL_EX DO_FCALL BOOL_NOT JMPZ INIT_METHOD_CALL DO_FCALL INIT_METHOD_CALL DO_FCALL ASSIGN VERIFY_RETURN_TYPE RETURN VERIFY_RETURN_TYPE RETURN
F1070.php, E O E ECHO RETURN
F1071.php, E O E ECHO ECHO ECHO INIT_FCALL_BY_NAME SEND_VAL_EX SEND_VAL_EX DO_FCALL ECHO ECHO INIT_FCALL_BY_NAME SEND_VAL_EX SEND_VAL_EX DO_FCALL ECHO ECHO RETURN
F1072.php, E O E ECHO RETURN
F1073.php, E O E ECHO INIT_METHOD_CALL SEND_VAL_EX DO_FCALL ECHO ECHO RETURN
F1074.php, E O E ECHO RETURN
F1075.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1076.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
F1077.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1078.php, E O E INIT_STATIC_METHOD_CALL SEND_VAL_EX SEND_VAL_EX DO_FCALL RETURN
F1079.php, E O E FETCH_CLASS DECLARE_INHERITED_CLASS RETURN
